Concurso,Faixa,Ganhadores,Prêmio
2793,12 Acertos,121070,"R$ 10,00"
2793,11 Acertos,654210,"R$ 5,00"
2794,15 Acertos,1,"R$ 1.646.269,60"
2794,14 Acertos,328,"R$ 1.503,42"
2794,13 Acertos,10725,"R$ 25,00"
2794,12 Acertos,128441,"R$ 10,00"
2794,11 Acertos,703866,"R$ 5,00"
2776,15 Acertos,1,"R$ 1.253.253,60"
2776,14 Acertos,259,"R$ 1.449,41"
2776,13 Acertos,9812,"R$ 25,00"
2776,12 Acertos,123885,"R$ 10,00"
2776,11 Acertos,618841,"R$ 5,00"
2789,15 Acertos,0,"R$ 0,00"
2789,14 Acertos,233,"R$ 1.427,43"
2789,13 Acertos,8871,"R$ 25,00"
2789,12 Acertos,126684,"R$ 10,00"
2789,11 Acertos,673559,"R$ 5,00"
2775,15 Acertos,1,"R$ 3.328.805,84"
2775,14 Acertos,365,"R$ 1.664,59"
2775,13 Acertos,15350,"R$ 25,00"
2775,12 Acertos,198358,"R$ 10,00"
2775,11 Acertos,1001593,"R$ 5,00"
2774,15 Acertos,0,"R$ 0,00"
2774,14 Acertos,299,"R$ 1.302,77"
2774,13 Acertos,10334,"R$ 25,00"
2774,12 Acertos,117950,"R$ 10,00"
2774,11 Acertos,611429,"R$ 5,00"
2773,15 Acertos,4,"R$ 383.468,92"
2773,14 Acertos,190,"R$ 1.692,73"
2773,13 Acertos,8176,"R$ 25,00"
2773,12 Acertos,111603,"R$ 10,00"
2773,11 Acertos,625024,"R$ 5,00"
2772,15 Acertos,2,"R$ 632.302,59"
2772,14 Acertos,315,"R$ 1.202,53"
2772,13 Acertos,10115,"R$ 25,00"
2772,12 Acertos,124248,"R$ 10,00"
2772,11 Acertos,649718,"R$ 5,00"
2771,15 Acertos,3,"R$ 612.845,82"
2771,14 Acertos,148,"R$ 2.604,73"
2771,13 Acertos,7095,"R$ 25,00"
2771,12 Acertos,97451,"R$ 10,00"
2771,11 Acertos,572190,"R$ 5,00"
2770,15 Acertos,4,"R$ 1.178.547,53"
